name,type,lat,lng,address,phone,source,gmaps
8 Bar,building,13.7394874,100.5561509,"8 Bar, 15-17, Soi Sukhumvit 8, Khlong Toei District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7394874,100.5561509"
94,catering,13.915076,100.5482881,"94, Popular1 Road, Ban Mai Subdistrict, 11120, Thailand",,Geoapify,"https://www.google.com/maps/search/?api=1&query=13.915076,100.5482881"
999 West,building,13.7591249,100.498164,"999 West, Susie Walking Street, Phra Nakhon District, 10200, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7591249,100.498164"
@One Bar,catering,13.7201995,100.7761331,"@One Bar, Suvarnabhumi 4 Road, Lat Krabang District, 10520, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7201995,100.7761331"
Adhere the 13th Rules,bar,13.7630671,100.4986203,13 ถนนสามเสน พระนคร,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7630671,100.4986203"
Aftermoon Bang Pu,catering,13.5381879,100.613189,"Aftermoon Bang Pu, Sukhumvit Road, Bang Pu Subdistrict Municipality, Bang Pu Mai Subdistrict, 10280, Thailand",,Geoapify,"https://www.google.com/maps/search/?api=1&query=13.5381879,100.613189"
AfterSkool,catering,13.7370549,100.5622597,"AfterSkool, 4/34, Soi Cowboy, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7370549,100.5622597"
AIRE,catering,13.7281157,100.5678325,"AIRE bar (Hyatt Place hotel), Soi Methi Niwet, Khlong Toei District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7281157,100.5678325"
Akara Sky Hanuman Bangkok,catering,13.7420753,100.5463613,"Akara Sky Hanuman Bangkok, 548, Phloen Chit Road, Pathum Wan District, 10330, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7420753,100.5463613"
All Time,bar,13.7697581,100.485098,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7697581,100.485098"
Alley cat,catering,13.7613485,100.4939696,"Alley cat, Soi Ram Buttri, Phra Nakhon District, 10200, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7613485,100.4939696"
Allso Bar,bar,13.7184606,100.5768485,46/12,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7184606,100.5768485"
Alonetogether Bar,catering,13.7376764,100.5667366,"Alonetogether Bar, Soi Sukhumvit 31, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7376764,100.5667366"
Alter Hours,catering,13.727563,100.5307688,"Alter Hours, 132/15, Soi Si Lom 6, Bang Rak District, 10500, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.727563,100.5307688"
Always Beer and Wines,building,13.7410595,100.5529018,"Always Beer and Wines, Soi Sukhumvit 4, Khlong Toei District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7410595,100.5529018"
Amnesia,adult,13.751267,100.5758142,"Amnesia, Royal City Avenue, Huai Khwang District, 10310, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.751267,100.5758142"
Angels Four,catering,13.7402809,100.5528957,"Angels Four, Maison Alley, Khlong Toei District, 10330, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7402809,100.5528957"
Angelwitch,bar,13.7415411,100.5532781,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7415411,100.5532781"
Anubis Bangkok,bar,13.7397095,100.5652473,120/17 Sukhumvit Soi 23,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7397095,100.5652473"
Arcadia,catering,13.7124134,100.5935068,"Arcadia, Sukhumvit Road, Khlong Toei District, 12060, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7124134,100.5935068"
Asahi,bar,13.7631168,100.4987091,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7631168,100.4987091"
Asia today cocktail bar,bar,13.7398355,100.5141429,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7398355,100.5141429"
Aso Pakin Sports Bar & Bistro,catering,13.7094078,100.4493472,"Aso Pakin Sports Bar & Bistro, Kanlapaphruek Road, Phasi Charoen District, 10160, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7094078,100.4493472"
AsSajan,bar,13.7581122,100.5097689,"121, 123 ถนนจักรพรรดิพงษ์",+66 89 697 8952,OSM,"https://www.google.com/maps/search/?api=1&query=13.7581122,100.5097689"
ASumo Snack,bar,13.7252002,100.5777115,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7252002,100.5777115"
At-Mosphere skycafé,catering,13.7602504,100.4986095,"At-Mosphere skycafé, Tani Road, Phra Nakhon District, 10200, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7602504,100.4986095"
Atmos,catering,13.7293715,100.5357285,"Atmos, 2, Si Lom Road, Bang Rak District, 10500, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7293715,100.5357285"
Attitude Cocktail Bar,catering,13.7049396,100.491239,"Attitude Cocktail Bar, 257, Charoen Nakhon Road, Thon Buri District, 10600, Thailand",02 431 9120,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7049396,100.491239"
Attitude Fusion Tapas & Cocktail Bar,catering,13.7258562,100.5160934,"Attitude Fusion Tapas & Cocktail Bar, 1204, Charoen Krung Road, Bang Rak District, 10500, Thailand",0657087313,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7258562,100.5160934"
Au-Thong,catering,13.7601437,100.496932,"Au-Thong, Ram Buttri Road, Phra Nakhon District, 10200, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7601437,100.496932"
Auntie Anne's,catering,13.9139803,100.5480425,"Auntie Anne's, Popular1 Road, Ban Mai Subdistrict, 11120, Thailand",,Geoapify,"https://www.google.com/maps/search/?api=1&query=13.9139803,100.5480425"
Auntie Anne's,catering,13.9040102,100.528145,"Auntie Anne's, 99;99/9, Chaeng Watthana Road, Bang Talat Subdistrict, 11120, Thailand",,Geoapify,"https://www.google.com/maps/search/?api=1&query=13.9040102,100.528145"
baan Bangkok local craft beer,catering,13.7695845,100.5079675,"baan Bangkok local craft beer, Si Ayutthaya Road, Dusit District, 10300, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7695845,100.5079675"
Baccara,catering,13.737017,100.5626353,"Baccara, 9/5, Soi Sukhumvit 23, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.737017,100.5626353"
BACCARAT,adult,13.7212694,100.5659697,"BACCARAT, 88, Phlaphongphanich Road, Khlong Toei District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7212694,100.5659697"
Bacchus,catering,13.7284852,100.5701045,"Bacchus, Soi Sukhumvit 26, Khlong Toei District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7284852,100.5701045"
Bad Motel,bar,13.7347178,100.5827026,วัฒนา,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7347178,100.5827026"
Bada Bing,catering,13.7284723,100.5322849,"Bada Bing, Thanon Phat Phong 2, Bang Rak District, 10500, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7284723,100.5322849"
Badshah,adult,13.7408838,100.5527839,"Badshah, Soi Sukhumvit 4, Khlong Toei District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7408838,100.5527839"
Baku,adult,13.7615667,100.568622,"Baku, Soi Ratchadaphisek 4, Huai Khwang District, 10310, Thailand",,Geoapify,"https://www.google.com/maps/search/?api=1&query=13.7615667,100.568622"
Bamboo Pub,catering,13.7438717,100.5531377,"Bamboo Pub, Soi Sukhumvit 3, Vadhana District, 10330, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7438717,100.5531377"
Bangcockney Pub,building,13.7390174,100.5532603,"Bangcockney Pub, Soi Sukhumvit 6, Khlong Toei District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7390174,100.5532603"
Bangkok Bar,catering,13.7332914,100.5828947,"Bangkok Bar, Soi Thong Lo 14, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7332914,100.5828947"
Bangkok Bar,catering,13.7594375,100.4975278,"Bangkok Bar, Ram Buttri Road, Phra Nakhon District, 10200, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7594375,100.4975278"
Bangkok Heightz,bar,13.7363005,100.5620463,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7363005,100.5620463"
Bangkok Pub Crawl,catering,13.7397066,100.5652644,"Bangkok Pub Crawl, 120/17, Soi 100 Pi Sayam Samakhom, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7397066,100.5652644"
Banmaitrachit,catering,13.7383403,100.5151108,"Banmaitrachit, Rama IV Road, Samphanthawong District, 10100, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7383403,100.5151108"
Bann Phoen,catering,13.8395442,100.5733728,"Bann Phoen, Soi Ngam Wong Wan 64, Chatuchak District, 10900, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.8395442,100.5733728"
Baobab Bar,catering,13.7441206,100.5565985,"Baobab Bar, 29/1, Soi Sukhumvit 11, Vadhana District, 10110, Thailand",020599299,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7441206,100.5565985"
Bar,catering,13.9262718,100.5912591,"Bar, Song Prapha Road, Don Mueang District, 10210, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.9262718,100.5912591"
Bar 23,catering,13.7282199,100.561193,"Bar 23, Soi Sukhumvit 16, Khlong Toei District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7282199,100.561193"
Bar @ Siam Square,catering,13.7448048,100.5348739,"Bar @ Siam Square, Novotel Way, Pathum Wan District, 10330, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7448048,100.5348739"
Bar Cheap Charlies,catering,13.706149,100.5988528,"Bar Cheap Charlies, Soi Sukhumvit 50, Khlong Toei District, 12060, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.706149,100.5988528"
Bar Craft O'Clock,catering,13.7067364,100.3746405,"Bar Craft O'Clock, Soi Phet Kasem 69, Nong Khaem District, 10160, Thailand",094 737 5668,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7067364,100.3746405"
Bar@494,catering,13.7433481,100.5405146,"Bar@494, Ratchadamri Road, Pathum Wan District, 10330, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7433481,100.5405146"
Barley,catering,13.7265727,100.529452,"Barley, Food Channel Silom, Bang Rak District, 10500, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7265727,100.529452"
Bars?,catering,13.8226704,100.5269407,"Bars?, Soi Krung Thep-Nonthaburi 37, Bang Sue District, 10800, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.8226704,100.5269407"
Baskin Robbins,catering,13.9140564,100.548144,"Baskin Robbins, Popular1 Road, Ban Mai Subdistrict, 11120, Thailand",,Geoapify,"https://www.google.com/maps/search/?api=1&query=13.9140564,100.548144"
Beam,adult,13.7346596,100.5832281,"Beam, Soi Sukhumvit 55, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7346596,100.5832281"
Beer & Cider House,bar,13.7629234,100.4988513,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7629234,100.4988513"
Beer Bar,catering,13.7400312,100.514036,"Beer Bar, Soi Nana, Pom Prap Sattru Phai District, 10100, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7400312,100.514036"
Beer Cap,catering,13.7349921,100.5821961,"Beer Cap, 335, Soi Thong Lo 17, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7349921,100.5821961"
Beer Pradith,building,13.7364489,100.521586,"Beer Pradith, 2056, Banthat Thong Road, Pathum Wan District, 10330, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7364489,100.521586"
BeerVault,catering,13.7390853,100.558436,"BeerVault, Soi Sukhumvit 15, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7390853,100.558436"
Belle’s Room,catering,13.7226269,100.519546,"Belle’s Room, 981, Si Lom Road, Bang Rak District, 10500, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7226269,100.519546"
Bier Garten,building,13.7417818,100.5547955,"Beer Garden, Soi Sukhumvit 7, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7417818,100.5547955"
Big Dog's,catering,13.7415321,100.5530394,"Big Dog's, Soi Sukhumvit 4, Khlong Toei District, 10330, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7415321,100.5530394"
Bijo Japanese Club,adult,13.7338942,100.5797137,"Bijo Japanese Club, Soi Sukhumvit 49/4, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7338942,100.5797137"
Bill Bentley,catering,13.9146573,100.5999285,"Bill Bentley, Vibhavadi Rangsit Road, Don Mueang District, 10210, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.9146573,100.5999285"
Bill Bentley Pub,catering,13.6927108,100.7463677,"Bill Bentley Pub, ถนนสุวรรณภูมิ 5, Nong Prue Subdistrict, Thailand",,Geoapify,"https://www.google.com/maps/search/?api=1&query=13.6927108,100.7463677"
Billboard,bar,13.7415233,100.5532482,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7415233,100.5532482"
Bistro Bordello,catering,13.7574041,100.5583199,"Bistro Bordello, Soi Khwan Phatthana, Din Daeng District, 10400, Thailand",,Geoapify,"https://www.google.com/maps/search/?api=1&query=13.7574041,100.5583199"
BK Bar,catering,13.7384372,100.5529555,"BK Bar, Soi Sukhumvit 4, Khlong Toei District, 10330, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7384372,100.5529555"
Black Pagoda,bar,13.7288002,100.5321362,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7288002,100.5321362"
Blues bar,bar,13.7431044,100.5763619,325 ซอย สุขุมวิท 49 วัฒนา,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7431044,100.5763619"
Board Game bar,catering,13.7816009,100.5741923,"Board Game bar, Soi Ratchadaphisek 14, Huai Khwang District, 10310, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7816009,100.5741923"
Bobo club bangkok,catering,13.7398039,100.5568459,"Bobo club bangkok, Sukhumvit Road, Khlong Toei District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7398039,100.5568459"
Bombay Blues,catering,13.7322942,100.5828233,"Bombay Blues, Soi Thong Lo 10, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7322942,100.5828233"
Bon Bon Bar,catering,13.7333493,100.5814951,"Bon Bon Bar, Soi Thong Lo 13, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7333493,100.5814951"
Books & Belongings,catering,13.6997882,100.604018,"Books & Belongings, Sukhumvit Road, Phra Khanong District, 10260, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.6997882,100.604018"
Boom boom shop,catering,13.7605543,100.4967581,"Boom boom shop, Ram Buttri Road, Phra Nakhon District, 10200, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7605543,100.4967581"
Boss Bar,catering,13.7357867,100.5524393,"Boss Bar, 40, Soi Sukhumvit 4, Khlong Toei District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7357867,100.5524393"
Bottles & Beats,catering,13.7366791,100.5718427,"Bottles & Beats, Soi Sukhumvit 39, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7366791,100.5718427"
Brew,catering,13.7448514,100.5568999,"Brew, Soi Sukhumvit 11, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7448514,100.5568999"
Brew Pub,pub,13.7333223,100.5812573,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7333223,100.5812573"
Brewave,building,13.7179254,100.4053528,"Brewave, Kanchanaphisek Road Outer Service Road, Bang Khae District, 10160, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7179254,100.4053528"
Brewave x Ari,catering,13.7789836,100.5446508,"Brewave x Ari, Phahon Yothin Road, Phaya Thai District, 10400, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7789836,100.5446508"
Brewski,catering,13.7350407,100.5639635,"Brewski, Soi Sukhumvit 27, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7350407,100.5639635"
Brick Bar,catering,13.7585971,100.4984729,"Brick Bar, Khao San Road, Phra Nakhon District, 10200, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7585971,100.4984729"
BRIDGE BAR,building,13.7206046,100.771345,"BRIDGE BAR, ซอยลาดกระบัง 42/4, Lat Krabang District, 10520, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7206046,100.771345"
Brio Bistro & Bar,bar,13.7979744,100.5491419,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7979744,100.5491419"
Brown Sugar,bar,13.7398793,100.5139226,18 ซอยนานา ป้อมปราบศัตรูพ่าย,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7398793,100.5139226"
BRUT,building,13.7868933,100.5420495,"BRUT, 29, Soi Pracha Nimit 1, Phaya Thai District, 10400, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7868933,100.5420495"
Buddy's,bar,13.7332291,100.5650639,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7332291,100.5650639"
Buddy’s Bar and Grill,bar,13.7256345,100.5256176,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7256345,100.5256176"
Bully's Bankok,catering,13.7421037,100.5524785,"Bully's Bankok, Sukhumvit Road, Khlong Toei District, 10330, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7421037,100.5524785"
Bungalo,catering,13.7937733,100.5971167,"Bungalo, Soi Lat Phrao 55/2, Wang Thonglang District, 10310, Thailand",,Geoapify,"https://www.google.com/maps/search/?api=1&query=13.7937733,100.5971167"
Bunny2,catering,13.7411942,100.5532496,"Bunny2, Soi Sukhumvit 4, Khlong Toei District, 10330, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7411942,100.5532496"
Burbrit Craft Beer,bar,13.7333677,100.565306,1 ซอยสุขุมวิท 22,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7333677,100.565306"
Butterfly,catering,13.7412573,100.5532119,"Butterfly, Soi Sukhumvit 4, Khlong Toei District, 10330, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7412573,100.5532119"
Cactus,catering,13.7167765,100.5474302,"Cactus, 15, Yen Akat Road, Yan Nawa District, 10120, Thailand",0834373515,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7167765,100.5474302"
Cactus Club,adult,13.7369202,100.562107,"Cactus Club, 4/11, Soi Cowboy, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7369202,100.562107"
Cafe Trio Jazz bar & Art Gallery,catering,13.7419704,100.5438502,"Cafe Trio Jazz bar & Art Gallery, Soi Langsuan, Pathum Wan District, 10330, Thailand",+6622526572,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7419704,100.5438502"
Café des stagiaires,catering,13.721423,100.5261038,"Café des stagiaires, Soi Sathon 12, Bang Rak District, 10500, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.721423,100.5261038"
Cari Bar,catering,13.7144148,100.593924,"Cari Bar, 1637, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7144148,100.593924"
Castro,adult,13.750473,100.5760697,"Castro, RCA Alley, Huai Khwang District, 10310, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.750473,100.5760697"
Center Khao Sarn,pub,13.7589807,100.4968873,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7589807,100.4968873"
Cezch Trendy Club,adult,13.7262403,100.5848429,"Cezch Trendy Club, Soi Sukhumvit 63, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7262403,100.5848429"
Cha's Bar,catering,13.7629063,100.4994899,"Cha's Bar, Soi Samsen 2, Phra Nakhon District, 10200, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7629063,100.4994899"
Champions Sports Bar,catering,13.8015939,100.5743996,"Champions Sports Bar, Ratchadaphisek Road, Chatuchak District, 10900, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.8015939,100.5743996"
Chang,catering,13.751652,100.532306,"Chang, Phaya Thai Road, Ratchathewi District, 10400, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.751652,100.532306"
Change,bar,13.7593166,100.496229,52 ถนนข้าวสาร พระนคร,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7593166,100.496229"
Chao Siam,catering,13.7319906,100.5650208,"Chao Siam, 12/3, Soi Sukhumvit 22, Khlong Toei District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7319906,100.5650208"
Cheap buckets,bar,13.7591939,100.4965992,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7591939,100.4965992"
Check In bar,bar,13.7381417,100.5575964,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7381417,100.5575964"
Checkinn99,catering,13.7331122,100.5671805,"Checkinn99, Soi Sukhumvit 33, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7331122,100.5671805"
Cheers,catering,13.7156031,100.5942192,"Cheers, Soi Pridi Banomyong 5, Vadhana District, 12060, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7156031,100.5942192"
Chequers,pub,13.7408121,100.5530437,,,OSM,"https://www.google.com/maps/search/?api=1&query=13.7408121,100.5530437"
Chill Bar 53,catering,13.7360626,100.6525212,"Chill Bar 53, ถนนสถานีหัวหมาก, Suan Luang District, 10250, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7360626,100.6525212"
Chilling House cafe,catering,13.7506604,100.5321785,"Chilling House cafe, ซอยศรีสุรุต, Ratchathewi District, 10400, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7506604,100.5321785"
Chinatown Yacht Club,adult,13.7396771,100.513862,"Chinatown Yacht Club, 92, Soi Nana, Pom Prap Sattru Phai District, 10100, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7396771,100.513862"
Chit Hole Asiatique,catering,13.7048562,100.5019729,"Chit Hole Asiatique, 2194, Charoen Krung Road, Bang Kho Laem District, 10120, Thailand",+66 64 954 6616,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7048562,100.5019729"
Chit Hole Muangthong,catering,13.9270987,100.5340815,"Chit Hole Muangthong, 50,84, Muang Thong Thani Project 6 Soi D1, Ban Mai Subdistrict, 11120, Thailand",+66 89 125 0233,Geoapify,"https://www.google.com/maps/search/?api=1&query=13.9270987,100.5340815"
Chit Hole Royal River,catering,13.7832951,100.5016537,"Chit Hole Royal River, 439, Ratchawithi Road, Bang Phlat District, 10700, Thailand",+66 64 954 6616,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7832951,100.5016537"
